what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_24",1336405767514
java.vm.info,sysinfo,,,"mixed mode, sharing",1336405767514
java.vm.name,sysinfo,,,"OpenJDK Client VM",1336405767514
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336405767514
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336405767514
java.vm.specification.version,sysinfo,,,"1.0",1336405767514
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1336405767514
java.vm.version,sysinfo,,,"20.0-b12",1336405767514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336405770281
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336405774278
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336405774289
started,bundle,org.eclipse.gmf.runtime.emf.clipboard.core,1.5.0.v20110529-2230,"org.eclipse.gmf.runtime.emf.clipboard.core",1336405774519
started,bundle,org.eclipse.gmf.runtime.common.ui.services.properties,1.3.1.v20101221-2230,"org.eclipse.gmf.runtime.common.ui.services.properties",1336405776959
started,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.4.2.v20101129-2230,"org.eclipse.gmf.runtime.diagram.ui.properties",1336405776964
started,bundle,org.eclipse.gmf.runtime.emf.ui.properties,1.5.0.v20101222-2230,"org.eclipse.gmf.runtime.emf.ui.properties",1336405777059
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336405777349
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1336405777445
started,bundle,org.eclipse.emf.validation.ui,1.3.0.v200901271722,"org.eclipse.emf.validation.ui",1336405790990
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336405798946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336405802513
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1336405802713
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1336405802732
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1336405811282
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1336405811484
started,bundle,org.eclipse.wb.rcp,1.3.0.r37x201202010053,"org.eclipse.wb.rcp",1336405811960
started,bundle,org.eclipse.wb.swt,1.3.0.r37x201202010030,"org.eclipse.wb.swt",1336405812024
started,bundle,org.eclipse.wb.swing,1.3.0.r37x201202021417,"org.eclipse.wb.swing",1336405812090
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336405813943
started,bundle,org.eclipse.wb.rcp.databinding,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding",1336405814370
started,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1336405814396
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1336405814825
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1336405815585
started,bundle,org.eclipse.wb.core.xml,1.3.0.r37x201202052344,"org.eclipse.wb.core.xml",1336405816083
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1336405816489
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1336405816908
started,bundle,org.eclipse.wb.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.xwt",1336405817635
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336405818095
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336405818245
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1336405818269
activated,editor,org.eclipse.uml2.diagram.clazz,0.10.0.201103290533,"org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID",1336405820458
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1336405823230
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336405823372
started,bundle,org.eclipse.emf.converter,2.5.0.v20120130-0943,"org.eclipse.emf.converter",1336405836533
started,bundle,org.eclipse.emf.importer,2.6.0.v20120130-0943,"org.eclipse.emf.importer",1336405836535
started,bundle,org.eclipse.emf.codegen.ecore,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore",1336405837895
started,bundle,org.eclipse.uml2.codegen.ecore,1.7.1.v201109082252,"org.eclipse.uml2.codegen.ecore",1336405837895
started,bundle,org.eclipse.emf.codegen,2.6.0.v20120130-0943,"org.eclipse.emf.codegen",1336405838504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336405838854
started,bundle,org.eclipse.uml2.uml.ecore.importer,2.4.100.v201008301510,"org.eclipse.uml2.uml.ecore.importer",1336405841814
started,bundle,org.eclipse.emf.codegen.ecore.ui,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore.ui",1336405842064
started,bundle,org.eclipse.uml2.codegen.ecore.ui,1.6.100.v201008301510,"org.eclipse.uml2.codegen.ecore.ui",1336405848323
opened,editor,org.eclipse.emf.codegen.ecore.ui,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1336405848370
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1336405848419
